연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
536,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,2020년 경기해양레저포럼 온라인 개최 안내,경기평택항만공사,2020-12-16,2020-12-16,2020-12-07
537,수출,교육,수출 > 교육,서울특별시,[서울] FTA 원산지증명서 기초교육 개최 안내,대한상공회의소,2020-12-17,2020-12-17,2020-12-07
538,창업,교육,창업 > 교육,경기도,[경기] 화성시 2021년 사회적경제조직 육성사업 대비 워밍업스쿨 교육 안내,한국사회적기업진흥원,2020-12-10,2020-12-29,2020-12-07
539,인력,교육,인력 > 교육,부산광역시,When Deep Learning Meets the Real World 특강 안내,성균관대학교 스마트팩토리융합학과,2020-12-09,2020-12-09,2020-12-04
540,인력,교육,인력 > 교육,서울특별시,"4차 산업혁명 시대 디지털 혁신, 인공지능과 빅데이터 플랫폼 이해와 활용 특강 안내",성균관대학교 스마트팩토리융합학과,2020-12-08,2020-12-08,2020-12-04
541,인력,교육,인력 > 교육,충청남도,SW 테스팅 실무 교육(ISTQB CTFL 과정) 실시,충남테크노파크,2020-12-14,2020-12-16,2020-12-04
542,경영,교육,경영 > 교육,서울특별시,2021년 비즈니스 전략수립 여성벤처 CEO 혁신아카데미 개최 안내,한국여성벤처협회,2020-12-14,2020-12-15,2020-12-04
543,인력,교육,인력 > 교육,충청북도,바이오헬스케어 인공지능ㆍ빅데이터 기본교육 안내,충북산학융합본부,2020-12-09,2020-12-09,2020-12-04
544,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,제7회 대한민국 SW융합 해커톤 대회 개최 안내,강원정보문화진흥원,2020-12-04,2020-12-06,2020-12-04
545,수출,세미나/포럼,수출 > 세미나/포럼,충청북도,[충북] 2020년 FTA 활용전략 온라인 세미나 개최 안내,충북글로벌마케팅시스템,2020-12-16,2020-12-16,2020-12-04
546,경영,교육,경영 > 교육,서울특별시,2020년 고령친화산업 온라인 교육세미나 안내,한국보건산업진흥원,2020-12-11,2020-12-11,2020-12-04
547,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,서울창조경제혁신센터ㆍ한화드림플러스 12월 스타트업 오아시스 Demoday 개최 안내,창조경제혁신센터,2020-12-09,2020-12-09,2020-12-04
548,경영,기타,경영 > 기타,서울특별시,2020년 데이터 그랜드 컨퍼런스 행사 안내,한국데이터산업진흥원,2020-12-14,2020-12-14,2020-12-04
549,경영,세미나/포럼,경영 > 세미나/포럼,경기도,2020년 전자문서 산업인의 날 및 전자문서 컨퍼런스 개최 안내,한국보건산업진흥원,2020-12-11,2020-12-11,2020-12-04
550,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2020년 제7회 코로나19 예술포럼 개최 안내,한국문화관광연구원,2020-12-09,2020-12-09,2020-12-04
551,기술,기타,기술 > 기타,경기도,[경기] 제조혁신DX 신기술ㆍ신제품 마케팅 데이 개최 안내,경기테크노파크,2020-12-11,2020-12-11,2020-12-04
552,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,스타트업-ICT개발자 매칭데이 개최,ICT 콤플렉스,2020-12-10,2020-12-15,2020-12-03
553,경영,기타,경영 > 기타,충청북도,[충북] 청주시 2020년 12월 무료 변리(특허ㆍ상표ㆍ디자인) 상담 안내,청주상공회의소,2020-12-17,2020-12-31,2020-12-03
554,인력,교육,인력 > 교육,서울특별시,전자ㆍ통신 산업 AI융합 신제품 개발 전환 역량강화 교육 안내,한국전자정보통신산업진흥회,2020-12-07,2020-12-23,2020-12-03
555,내수,교육,내수 > 교육,대전광역시,[대전] 전통시장 SNS마케팅 교육 안내,대전경제통상진흥원,2020-12-04,2020-12-11,2020-12-03
556,인력,교육,인력 > 교육,서울특별시,[서울] 제2차 연말정산 실무 종합 교육 안내,서울상공회의소,2021-01-06,2021-01-06,2020-12-03
557,인력,교육,인력 > 교육,서울특별시,[서울] 제1차 연말정산 실무 종합 교육 안내,서울상공회의소,2021-01-05,2021-01-05,2020-12-03
558,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,한ㆍ중 제3국시장 공동진출포럼 및 기업 IR 참가 안내,KOTRA,2020-12-07,2020-12-07,2020-12-03
559,기술,기타,기술 > 기타,전라남도,2020년 농식품 R&D 유망기술발표회 개최 안내,농림식품기술기획평가원,2020-12-09,2020-12-09,2020-12-03
560,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,"섬유불황 탈출(ESC)의 길, 기술(Tech)에서 찾다 Webinar 개최 안내",한국섬유소재연구원,2020-12-15,2020-12-15,2020-12-02
561,기술,세미나/포럼,기술 > 세미나/포럼,인천광역시,K-Global@Silicon Valley 2020 행사 개최 안내,정보통신산업진흥원,2020-12-01,2020-12-04,2020-12-02
562,기술,세미나/포럼,기술 > 세미나/포럼,경상북도,포항강소연구개발특구 온라인 첨단신소재 기술교류회 개최 안내,포항테크노파크,2020-12-09,2020-12-11,2020-12-02
563,창업,세미나/포럼,창업 > 세미나/포럼,인천광역시,"[인천] 제2회 창업 네트워킹데이 오지, 랍 마당 온ㆍ오프라인 개최 안내",인천광역시,2020-12-09,2020-12-09,2020-12-02
564,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,제10차 한류NOW 정기세미나 온라인 개최 안내,한국국제문화교류진흥원,2020-12-17,2020-12-17,2020-12-02
565,경영,교육,경영 > 교육,서울특별시,제3차 연말정산 핵심 포인트 소득ㆍ세액공제 중심 교육 실시,대한상공회의소,2021-01-07,2021-01-07,2020-12-02
566,수출,세미나/포럼,수출 > 세미나/포럼,부산광역시,2021년 글로벌 화장품 수출 확대 전략 온라인 세미나 개최 안내,한국무역협회,2020-12-09,2020-12-09,2020-12-02
567,인력,교육,인력 > 교육,부산광역시,제5차 연말정산 실무종합(초급자 대상) 교육 온ㆍ오프라인 개최 안내,대한상공회의소,2021-01-28,2021-01-29,2020-12-02
568,인력,교육,인력 > 교육,서울특별시,제1차 법인결산과 세무조정 실무 교육 온ㆍ오프라인 개최 안내,대한상공회의소,2021-01-18,2021-01-20,2020-12-02
569,인력,교육,인력 > 교육,서울특별시,제4차 연말정산 실무 종합 교육 온ㆍ오프라인 개최 안내,대한상공회의소,2021-01-13,2021-01-13,2020-12-02
570,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,2020년 오벤터스(O!VentUs) 데모데이 개최,서울창조경제혁신센터,2020-12-08,2020-12-08,2020-12-02
571,기술,세미나/포럼,기술 > 세미나/포럼,전라북도,클라우드컴퓨팅 기술세미나 개최 안내,전주정보문화산업진흥원,2020-12-14,2020-12-21,2020-12-02
572,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,한-중 글로벌 경제협력 포럼 개최 안내,대한상공회의소,2020-12-09,2020-12-09,2020-12-02
573,창업,기타,창업 > 기타,울산광역시,[울산] 2020년 12월 창업 멘토링 서비스 안내,울산창조경제혁신센터,2020-12-01,2020-12-31,2020-12-02
574,경영,교육,경영 > 교육,서울특별시,[서울] 2020년 12월 서울메이드 스테이지 비즈니스 고도화 프로그램 안내,서울산업진흥원,2020-12-01,2020-12-29,2020-12-02
575,경영,교육,경영 > 교육,제주특별자치도,[제주] 2020년 12월 협동조합 정기 설립 교육 안내,제주사회적경제네트워크,2020-12-24,2020-12-24,2020-12-02
576,경영,교육,경영 > 교육,경기도,2020년 한국전자전 중 스마트공장 교육 및 설명회 개최 안내,경기테크노파크,2020-12-09,2020-12-11,2020-12-02
577,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,기후변화 대응 서울시 도시계획 및 관리방안 심포지엄 온라인 개최 안내,서울특별시,2020-12-08,2020-12-08,2020-12-01
578,경영,워크샵,경영 > 워크샵,서울특별시,2020년 회원사 온라인 간담회 개최 안내,한국AEO진흥협회,2020-12-15,2020-12-16,2020-12-01
579,경영,사업설명회,경영 > 사업설명회,울산광역시,2021년 지역 에너지신산업 활성화 지원사업 온라인 공고 설명회 개최 안내,한국에너지공단,2020-12-04,2020-12-04,2020-12-01
580,인력,세미나/포럼,인력 > 세미나/포럼,부산광역시,2020년 지역자산화 지원사업 성과공유회 온라인 개최 안내,부산사회적경제지원센터,2020-12-04,2020-12-04,2020-12-01
581,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2020년 청정생산ㆍ자원순환 컨퍼런스 개최 안내,국가청정생산지원센터,2020-12-17,2020-12-17,2020-12-01
582,경영,교육,경영 > 교육,서울특별시,[서울] 스마트폰 영상 제작 교육 프로그램 실시,서울테크노파크,2020-12-15,2020-12-22,2020-11-30
583,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,2020년 서울테크노파크 중소기업 Cheer up! 웨비나 개최,서울테크노파크,2020-12-01,2020-12-01,2020-11-30
584,인력,교육,인력 > 교육,부산광역시,KORES MinEdu 실무심화과정(Digital Mining) 교육 온라인 개최 안내,한국광물자원공사,2020-12-10,2020-12-11,2020-11-30
585,인력,교육,인력 > 교육,광주광역시,클라우드컴퓨팅 전문인력양성교육 종합교육과정 개최,전주정보문화산업진흥원,2020-11-30,2020-12-16,2020-11-30
586,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2020년 온라인 Tech M&A 세미나 개최,한국소재부품장비투자기관협의회,2020-12-09,2020-12-09,2020-11-30
587,인력,교육,인력 > 교육,전라북도,클라우드컴퓨팅 전문인력양성교육(Serverless Computing 구현) 온라인 개최 안내,전주정보문화산업진흥원,2020-12-03,2020-12-04,2020-11-30
588,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,데이터ㆍAI 융합 비즈니스 웹포럼 개최 안내,서울특별시,2020-12-09,2020-12-09,2020-11-30
589,인력,교육,인력 > 교육,부산광역시,2020년 ICMCI CMC 35기 양성과정 교육 안내,한국경영기술지도사회,2020-12-12,2021-01-10,2020-11-30
590,경영,세미나/포럼,경영 > 세미나/포럼,울산광역시,[울산] 울산경제진흥원ㆍUNIST 협업 온라인 기술이전 온라인 설명회 개최 안내,울산경제진흥원,2020-12-03,2020-12-03,2020-11-30
591,인력,교육,인력 > 교육,경기도,2020년 금형업체 재직자를 위한 직무역량교육 안내,한국금형공업협동조합,2020-12-05,2020-12-10,2020-11-30
592,경영,세미나/포럼,경영 > 세미나/포럼,울산광역시,2020년 방산정책 심포지엄 온라인 개최 안내,한국방위산업진흥회,2020-12-15,2020-12-15,2020-11-30
593,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,2020년 헤이! 스타트업 & 스타트업 박싱데이 온라인 개최 안내,창조경제혁신센터,2020-12-04,2020-12-05,2020-11-30
594,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2020년 REACH 엑스포 개최 안내,국가청정생산지원센터,2020-12-11,2020-12-11,2020-11-30
595,창업,교육,창업 > 교육,경기도,[경기] IP창업고용존 IP(지식재산) 제11기 창업교육(비대면) 안내,경기테크노파크,2020-12-14,2020-12-18,2020-11-30
596,인력,교육,인력 > 교육,대전광역시,[대전ㆍ세종ㆍ충청] 인공지능 데이터 라벨러 양성과정 교육 안내,대전정보문화산업진흥원,2020-12-08,2020-12-22,2020-11-30
597,인력,교육,인력 > 교육,충청남도,[충남] 2020년 빅데이터 및 데이터사이언스 교육 안내,충남창조경제혁신센터,2020-12-11,2020-12-31,2020-11-30
598,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2020년 실감콘텐츠 활성화포럼 컨퍼런스 개최 안내,차세대융합콘텐츠산업협회,2020-12-09,2020-12-09,2020-11-30
599,인력,교육,인력 > 교육,경기도,[경기] 비대면 최신기술지도사업 기술설명회(강의) 개최 안내,경기중소벤처기업청,2020-11-27,2020-12-03,2020-11-27
600,경영,교육,경영 > 교육,경기도,[경기] 안산시 2020년 5차 연말정산 교육 실시,대한상공회의소,2021-01-14,2021-01-14,2020-11-27
601,창업,세미나/포럼,창업 > 세미나/포럼,대구광역시,제4회 대구스타트업어워즈 온라인 개최 안내,대구창조경제혁신센터,2020-12-03,2020-12-03,2020-11-27
602,경영,교육,경영 > 교육,경기도,[경기] 안산시 2020년 4차 연말정산 교육 실시,대한상공회의소,2021-01-08,2021-01-08,2020-11-27
603,경영,교육,경영 > 교육,경기도,[경기] 안산시 2020년 연말정산 교육 추가 실시,대한상공회의소,2020-12-17,2020-12-17,2020-11-27
604,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,한국교육학술정보원 한-아세안 동반성장을 위한 ACU포럼 개최,한국교육학술정보원,2020-12-02,2020-12-02,2020-11-27
605,창업,교육,창업 > 교육,서울특별시,[서울] 양천구 온라인 스토어 창업 특강 실시,서울기업지원센터,2020-12-09,2020-12-11,2020-11-27
606,금융,사업설명회,금융 > 사업설명회,서울특별시,[서울] 성북구 2020년 성북구 우수스타트업 투자유치활성화 설명회 개최,서울기업지원센터,2020-12-01,2020-12-01,2020-11-27
607,수출,사업설명회,수출 > 사업설명회,서울특별시,상하이 IP-DESK 중국 온라인플랫폼 지재권 보호방안 설명회 개최 안내,KOTRA,2020-12-01,2020-12-03,2020-11-27
608,경영,세미나/포럼,경영 > 세미나/포럼,울산광역시,2020년 디지털정부 클라우드 컨퍼런스 개최,한국정보화진흥원,2020-12-03,2020-12-03,2020-11-27
609,기술,세미나/포럼,기술 > 세미나/포럼,부산광역시,[부산] 2020년 기술이전 컨퍼런스 개최 안내,부산지방중소벤처기업청,2020-12-01,2020-12-02,2020-11-27
610,금융,교육,금융 > 교육,서울특별시,"2020년 2차, 3차 투자유치 활성화 사업 투자유치 지원 프로그램 개최",벤처기업협회,2021-01-29,2021-02-05,2020-11-26
611,기술,교육,기술 > 교육,인천광역시,인천지방중소벤처기업청 R&D 역량강화 강연 및 토론 안내,인천지방중소벤처기업청,2020-11-26,2020-12-31,2020-11-26
612,기술,세미나/포럼,기술 > 세미나/포럼,광주광역시,2020년 제2회 IPCC 대응을 위한 국내 전문가 포럼 개최 안내,기상청,2020-12-02,2020-12-02,2020-11-26
613,인력,교육,인력 > 교육,대전광역시,"[대전] 2020년 SW융합 전문가 양성 2, 3차 교육 안내",대전정보문화산업진흥원,2020-12-03,2020-12-11,2020-11-26
614,인력,교육,인력 > 교육,서울특별시,AIoT 플랫폼 기술 동향 및 Digital Transformation 적용 사례 특강 온ㆍ오프라인 개최 안내,성균관대학교,2020-12-02,2020-12-02,2020-11-26
615,기술,세미나/포럼,기술 > 세미나/포럼,대구광역시,전파이용 산업분야 앞장감 양성교육 세미나 개최 안내,한국전파진흥협회,2020-11-27,2020-11-27,2020-11-26
616,인력,교육,인력 > 교육,서울특별시,5G smartfactory 실증 사례 특강 온ㆍ오프라인 개최 안내,성균관대학교,2020-12-01,2020-12-01,2020-11-26
617,기술,세미나/포럼,기술 > 세미나/포럼,부산광역시,2020년 SW인재페스티벌 온라인 개최 안내,정보통신기획평가원,2020-12-03,2020-12-04,2020-11-26
618,기술,사업설명회,기술 > 사업설명회,인천광역시,해외(미국ㆍ중국ㆍ일본) 전기전자제품 인증제도 온라인 설명회 및 상담회 개최 안내,한국무역협회,2020-12-14,2020-12-14,2020-11-26
619,창업,세미나/포럼,창업 > 세미나/포럼,경상남도,스타트업 박스 플랫폼 다채널 MD초청 구매상담회 창업기업 참석 안내,경남창조경제혁신센터,2020-12-09,2020-12-09,2020-11-26
620,인력,세미나/포럼,인력 > 세미나/포럼,대구광역시,[대구] 제18회 대구국가혁신융복합단지 혁신플러스 세미나 온라인 개최 안내,대구테크노파크,2020-12-03,2020-12-03,2020-11-26
621,인력,교육,인력 > 교육,서울특별시,제1기 기업 IP 담당 전문가 교육 개최 안내,대한변리사회,2020-12-16,2020-12-17,2020-11-26
622,경영,교육,경영 > 교육,전라남도,2020년 콘텐츠스텝업X플러스 온라인 특강 안내,한국콘텐츠진흥원,2020-12-01,2020-12-03,2020-11-26
623,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,2020년 서울 빅데이터 포럼 온라인 개최 안내,서울특별시,2020-12-03,2020-12-04,2020-11-26
624,경영,전시/박람회,경영 > 전시/박람회,세종특별자치시,2020년 정부혁신 박람회 개최 안내,2020 정부혁신 박람회,2020-11-24,2020-12-03,2020-11-26
625,인력,교육,인력 > 교육,전라북도,2020년 지역소셜벤처육성사업 11월 원데이 임팩트 스쿨 개최,전북창조경제혁신센터,2020-11-30,2020-11-30,2020-11-25
626,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,2020년 전기공사업 신성장 미래포럼 개최 안내,한국전기공사협회,2020-12-03,2020-12-03,2020-11-25
627,경영,세미나/포럼,경영 > 세미나/포럼,충청북도,충북지식경영포럼 제88차 조찬세미나 개최 안내,청주상공회의소,2020-12-11,2020-12-11,2020-11-25
628,기술,세미나/포럼,기술 > 세미나/포럼,대구광역시,엔지니어링 설계 제조 기술 확산 온라인 세미나 개최 안내,첨단정보통신융합산업기술원,2020-12-02,2020-12-02,2020-11-25
629,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2020년 해외 진출 IP 전략 컨퍼런스 온라인 개최 안내,KOTRA,2020-12-10,2020-12-10,2020-11-25
630,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,글로벌 환경규제대응 기술지원 세미나(신발ㆍ섬유 기업 대상) 개최 안내,신발산업진흥센터,2020-12-02,2020-12-02,2020-11-25
631,인력,교육,인력 > 교육,부산광역시,부산경제진흥원 신발산업인력양성교육 12월 교육 실시,부산경제진흥원,2020-12-16,2020-12-16,2020-11-25
632,인력,교육,인력 > 교육,부산광역시,[부산] MICE 강소기업 육성 중간관리자 유치캠프 개최 안내,부산경제진흥원,2020-12-03,2020-12-04,2020-11-25
633,수출,기타,수출 > 기타,서울특별시,한국무역보험공사 온라인 K-SURE Vendor Fair 개최 안내,한국무역보험공사,2020-12-22,2020-12-22,2020-11-25
634,인력,교육,인력 > 교육,세종특별자치시,2020년 12월 의료기기 품질책임자 실시간 온라인 교육 안내,한국의료기기안전정보원,2020-12-01,2020-12-31,2020-11-25
635,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,2020년 NEXT 국제문화교류 전문인력양성 콘퍼런스 개최 안내,한국국제문화교류진흥원,2020-12-02,2020-12-02,2020-11-25
636,인력,교육,인력 > 교육,대구광역시,2020년 KAIST AI 전문가 양성교육 안내,서울기업지원센터,2020-12-01,2021-02-26,2020-11-25
637,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2020년 방산정책 심포지엄 개최 안내,한국방위산업진흥회,2020-12-15,2020-12-15,2020-11-25
638,인력,교육,인력 > 교육,경기도,[경기] 화성시 2020년 귀속 연말정산 실무 교육 개최 안내,화성상공회의소,2020-12-18,2020-12-18,2020-11-25
639,인력,교육,인력 > 교육,부산광역시,[부산] 2020년 마을기업 대상 온라인 마케팅(검색광고 마케팅) 교육 안내,사회적기업연구원,2020-12-03,2020-12-03,2020-11-25
640,인력,세미나/포럼,인력 > 세미나/포럼,제주특별자치도,제10회 제주산업발전포럼 온라인 개최 안내,제주테크노파크,2020-12-04,2020-12-04,2020-11-25
641,창업,사업설명회,창업 > 사업설명회,전라북도,[전북] 2020년 찾아가는 청년창업 스타트업 행사 개최 안내,전북창조경제혁신센터,2020-11-26,2020-11-26,2020-11-25
642,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,2020년 서울 동북부 창업지원 포럼 - 청년 창업 바이브 온라인 개최 안내,서울창업디딤터,2020-12-02,2020-12-02,2020-11-25
643,인력,교육,인력 > 교육,인천광역시,2020년 인천SW미래채움 교육 온라인 페스티벌 개최 안내,인천광역시,2020-11-28,2020-12-13,2020-11-25
644,경영,세미나/포럼,경영 > 세미나/포럼,대구광역시,2020년 4th 낙성 멘토링 Day 온라인 개최 안내,낙성벤처창업센터,2020-12-10,2020-12-10,2020-11-25
645,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,제8회 유통산업주간 4차산업혁명과 유통산업의 미래포럼 안내,대한상공회의소,2020-12-16,2020-12-16,2020-11-25
646,경영,기타,경영 > 기타,서울특별시,제8회 유통산업주간 유통CEO토크콘서트 개최 안내,대한상공회의소,2020-12-15,2020-12-15,2020-11-25
647,수출,교육,수출 > 교육,서울특별시,무역업체 환율대응 전략 온라인 특강 안내,한국무역협회,2020-12-01,2020-12-01,2020-11-25
648,경영,교육,경영 > 교육,경기도,[경기] 평택시 2020년 귀속 연말정산 실무 교육 개최,평택상공회소,2020-12-22,2020-12-22,2020-11-24
649,기술,사업설명회,기술 > 사업설명회,서울특별시,2020년 일본 우수퇴직기술자 기술지도 사업설명회 실시,한일산업기술협력재단,2020-12-11,2020-12-11,2020-11-24
650,경영,교육,경영 > 교육,제주특별자치도,[제주] 마을공동체 미디어 오픈클래스 교육 실시,제주영상문화산업진흥원,2020-12-02,2020-12-04,2020-11-24
651,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2020년 ICT InnoFesta 행사 개최 안내,정보통신산업진흥원,2020-12-03,2020-12-03,2020-11-24
652,수출,교육,수출 > 교육,경기도,[경기] 8회차 수출역량 강화 교육 온라인 개최 안내,경기FTA활용지원센터,2020-12-08,2020-12-16,2020-11-24
653,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,2020년 K-Global 실리콘밸리 온라인 컨퍼런스 개최 안내,KOTRA,2020-12-01,2020-12-04,2020-11-24
654,인력,교육,인력 > 교육,부산광역시,[부산] 2020년 사회적경제기업 종사자 경영역량 강화교육 안내,사회적기업연구원,2020-12-09,2020-12-09,2020-11-24
655,기술,사업설명회,기술 > 사업설명회,서울특별시,2020년 하반기 중소기업 기술보호 온라인 설명회 안내,중소기업 기술보호울타리,2020-12-02,2020-12-04,2020-11-24
656,기술,세미나/포럼,기술 > 세미나/포럼,부산광역시,클라우드서비스 보안인증제 DaaS 분야 확대시행 설명회 온라인 개최 안내,한국인터넷진흥원,2020-11-26,2020-11-26,2020-11-24
657,수출,세미나/포럼,수출 > 세미나/포럼,대구광역시,제1회 국제 스마트의료기기 표준전문가 세미나 개최 안내,한국스마트의료기기산업진흥재단,2020-11-25,2020-11-25,2020-11-24
658,인력,교육,인력 > 교육,충청북도,[충청권] 2020년 인공지능 교육 프로그램 4기 교육 안내,충북과학기술혁신원,2020-11-30,2020-12-28,2020-11-24
659,인력,교육,인력 > 교육,서울특별시,[서울] 광진구 메이커스빌(Makersvill) 3D 설계 및 프린팅 교육 안내,서울시 광진구,2020-11-26,2020-11-26,2020-11-24
660,경영,세미나/포럼,경영 > 세미나/포럼,제주특별자치도,2020년 4회 KOREA DATA-BIZ TRENDS 온라인 행사 개최 안내,한국데이터산업진흥원,2020-11-27,2020-11-27,2020-11-24
661,인력,세미나/포럼,인력 > 세미나/포럼,대구광역시,제25회 농림식품산업 미래성장포럼 온라인 개최 안내,농림식품기술기획평가원,2020-12-02,2020-12-02,2020-11-24
662,인력,교육,인력 > 교육,경기도,[경기] 평택시 E-커머스 트렌드 및 활용방안 교육 안내,평택상공회의소,2020-12-11,2020-12-11,2020-11-24
663,창업,세미나/포럼,창업 > 세미나/포럼,충청북도,제2회 충북 창업 페스티벌 개최 안내,충북과학기술혁신원,2020-11-24,2020-11-25,2020-11-24
664,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,"50플러스재단 대전환 시대를 건너다, 50+일자리 특별 포럼 개최",서울특별시,2020-12-01,2020-12-01,2020-11-24
665,수출,세미나/포럼,수출 > 세미나/포럼,부산광역시,제5회 국제 해양플랜트 기술 컨퍼런스 개최 안내,한국생산기술연구원,2020-12-01,2020-12-02,2020-11-24
666,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2020년 미래유망기술세미나 개최 안내,한국과학기술정보연구원,2020-11-26,2020-11-26,2020-11-24
667,경영,세미나/포럼,경영 > 세미나/포럼,충청남도,2020년 가스안전 국제세미나 온ㆍ오프라인 개최 안내,한국가스안전공사,2020-11-27,2020-11-27,2020-11-24
668,수출,세미나/포럼,수출 > 세미나/포럼,부산광역시,중소ㆍ중견기업의 사우디 국가 프로젝트 수주 지원을 위한 온라인 K-SURE Vendor Fair 개최 안내,한국무역보험공사,2020-12-22,2020-12-22,2020-11-24
669,수출,사업설명회,수출 > 사업설명회,부산광역시,북미시장 개척을 위한 아마존 활용 설명회 개최 안내,서울지방중소벤처기업청,2020-11-30,2020-11-30,2020-11-24
670,수출,세미나/포럼,수출 > 세미나/포럼,전라남도,[광주ㆍ전남] 러시아 전자상거래시장 진출전략 온라인 세미나 개최 안내,한국무역협회,2020-12-09,2020-12-09,2020-11-24
671,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2020년 오션테크 코리아 온라인 개최 안내,해양수산과학기술진흥원,2020-11-26,2020-11-26,2020-11-24
672,수출,사업설명회,수출 > 사업설명회,서울특별시,한국무역협회 한-UAE 비즈니스 다이얼로그 개최,한국무역협회,2020-11-25,2020-11-25,2020-11-23
673,수출,교육,수출 > 교육,강원도,[강원] 영문 BIZ 이메일 및 무역서식 작성 교육 안내,한국무역협회,2020-12-01,2020-12-21,2020-11-23
674,기술,세미나/포럼,기술 > 세미나/포럼,대구광역시,데이터 사이언스 테크 온라인 세미나 개최 안내,대구창조경제혁신센터,2020-11-26,2020-11-26,2020-11-23
675,창업,교육,창업 > 교육,강원도,[강원] 2020년 지역기업 R&D 교육 및 G-스타트업 멘토링아워 개최 안내,강원창조경제혁신센터,2020-12-15,2020-12-15,2020-11-23
676,수출,세미나/포럼,수출 > 세미나/포럼,부산광역시,말레이시아 그린테크놀로지 산업동향 및 정부지원시책 웨비나 개최 안내,중소벤처기업진흥공단,2020-11-30,2020-11-30,2020-11-23
677,기술,세미나/포럼,기술 > 세미나/포럼,경상남도,[경남] LNGㆍ극저온 기자재 및 시스템 최신 기술 및 동향 세미나 개최 안내,한국기계연구원,2020-11-25,2020-11-25,2020-11-23
678,기술,교육,기술 > 교육,서울특별시,2020년 12월 정부지원사업 관련 R&D 기획 교육 안내,중소기업기술개발종합관리시스템,2020-12-02,2020-12-16,2020-11-23
679,인력,세미나/포럼,인력 > 세미나/포럼,경기도,[경기] 2020년 VRㆍAR 융합센터 온라인 세미나 개최 안내,경기중소기업종합정보시스템,2020-11-26,2020-11-30,2020-11-23
680,경영,기타,경영 > 기타,부산광역시,[부산] 성공CEO 멘토링데이 개최 안내,부산벤처기업협회,2020-11-26,2020-11-26,2020-11-23
681,수출,세미나/포럼,수출 > 세미나/포럼,인천광역시,대만글로벌기업ㆍ스타트업 오픈이노베이션 데이 개최 안내,KOTRA,2020-12-10,2020-12-10,2020-11-23
682,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,디지털 뉴노멀 시대의 비대면 업무환경 발전방향 세미나 개최 안내,서울디지털재단,2020-12-02,2020-12-02,2020-11-23
683,수출,세미나/포럼,수출 > 세미나/포럼,부산광역시,한ㆍ중ㆍ러 포스트 코로나 경제협력포럼 온ㆍ오프라인 개최 안내,KOTRA,2020-11-24,2020-11-24,2020-11-23
684,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,한ㆍ베트남 투자협력 웨비나 및 화상상담회 개최 안내,KOTRA,2020-12-02,2020-12-02,2020-11-23
685,수출,세미나/포럼,수출 > 세미나/포럼,인천광역시,중남미 전력산업 동향 및 주요기업 조달전략 웨비나 개최 안내,KOTRA,2020-11-26,2020-12-03,2020-11-23
686,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,요르단 전력시장 진출전략 웨비나 개최 안내,KOTRA,2020-11-24,2020-11-24,2020-11-23
687,인력,기타,인력 > 기타,서울특별시,2020년 다문화무역인 온라인 채용상담회 개최 안내,KOTRA,2020-11-30,2020-12-04,2020-11-23
688,내수,전시/박람회,내수 > 전시/박람회,서울특별시,2020년 DDP디자인페어 개최 안내,서울특별시,2020-11-20,2021-12-31,2020-11-20
