연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
1657,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,"스타트업, 미국 시장 진출을 위한 첫 발 (무역협회, 테크스타즈, 넥스트유니콘) 세미나 안내",한국무역협회,2020-08-18,2020-08-18,2020-08-13
1658,제도,교육,제도 > 교육,전라북도,[전북] 2020년 3ㆍ4차 마을기업 설립 전 교육 운영 안내,전라북도경제통상진흥원,2020-09-04,2020-09-28,2020-08-13
1659,인력,교육,인력 > 교육,경기도,경기 서부경기문화창조허브 초보개발자를 위한 제품양산 실무 교육 안내,시흥산업진흥원,2020-08-25,2020-08-25,2020-08-13
1660,인력,교육,인력 > 교육,광주광역시,[광주] ACBC 제1기 투자IR 2차 교육 안내,광주정보문화산업진흥원,2020-09-02,2020-10-28,2020-08-13
1661,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,Global Green Hub Korea 2020 개최,KOTRA,2020-09-09,2020-09-25,2020-08-13
1662,인력,교육,인력 > 교육,대구광역시,[대구] 2020년 제2차 전자입찰 실무교육 안내,대구상공회의소,2020-08-24,2020-08-24,2020-08-13
1663,인력,기타,인력 > 기타,대구광역시,[대구] 2020년 9월 공익변리사 초청 무료변리상담 행사 안내,대구상공회의소 지식재산센터,2020-09-09,2020-09-09,2020-08-13
1664,인력,교육,인력 > 교육,제주특별자치도,[제주] 디지털콘텐츠 공정거래 교육,한국기술사업화진흥협회 기술품질연구센터,2020-08-21,2020-08-21,2020-08-13
1665,인력,교육,인력 > 교육,제주특별자치도,[제주] 스마트 팜 러닝 과정 교육 안내,제주테크노파크,2020-09-07,2020-10-30,2020-08-13
1666,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,PIS연계 섬유패션기업 FTA활용전략 세미나 개최,대구경북패션사업협동조합,2020-09-07,2020-09-07,2020-08-12
1667,인력,교육,인력 > 교육,경기도,[경기] 2020년 2차 VRㆍAR 융합센터 기술 교육 안내,경기중소기업종합정보시스템,2020-09-14,2020-09-25,2020-08-12
1668,창업,교육,창업 > 교육,경기도,"[경기] 2020년 하반기 Making 프로그램(1인미디어, 사진촬영 등) 교육 안내",경기중소기업종합정보시스템,2020-09-10,2020-10-08,2020-08-12
1669,수출,전시/박람회,수출 > 전시/박람회,서울특별시,Bio Health Worldwide Online 2020 개최,대한무역투자진흥공사,2020-09-15,2020-09-15,2020-08-12
1670,기술,세미나/포럼,기술 > 세미나/포럼,대구광역시,"제4회 디지털 헬스케어소프트웨어 포럼 개최(언택트 시대, 디지털 헬스케어 기술 및 인증 동향) 안내",디지털헬스케어소프트웨어시험평가센터,2020-08-19,2020-08-19,2020-08-12
1671,인력,교육,인력 > 교육,서울특별시,[서울] 2020년 강서구 사회적경제 창업아카데미 수강생 모집,서울기업지원센터,2020-09-09,2020-10-20,2020-08-12
1672,인력,교육,인력 > 교육,서울특별시,2020년 8월 스마트제조 분야 교육 안내,한국산업기술협회,2020-08-19,2020-08-29,2020-08-12
1673,경영,교육,경영 > 교육,서울특별시,[서울] 2020년 하반기 5대 법정의무교육(온라인) 무료 지원 안내,서울기업지원센터,2020-09-01,2020-11-30,2020-08-12
1674,인력,교육,인력 > 교육,전라북도,[전북] 2020년 FTA(도비) 제2차 시장개척 전문인력 양성교육(심화) 안내,전라북도경제통상진흥원,2020-08-31,2020-08-31,2020-08-12
1675,인력,교육,인력 > 교육,전라북도,[전북] 2020년 여성인재 아카데미 지역여성 정치역량 강화 교육 안내,전북여성교육문화센터,2020-08-26,2020-08-27,2020-08-12
1676,경영,교육,경영 > 교육,충청남도,100번가의톡 X 2019 예비창업패키지 IDEA___DAY 개최,충남창조경제혁신센터,2020-08-26,2020-08-26,2020-08-12
1677,수출,수출상담회,수출 > 수출상담회,서울특별시,인도 바이어 대상 Live PR의 기회! 한-인도 K-Bio B2B Online Fair 개최,한국무역협회,2020-09-16,2020-09-17,2020-08-12
1678,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,제4회 산업기술분쟁조정 세미나 개최 안내,한국산업기술보호협회,2020-09-08,2020-09-08,2020-08-12
1679,인력,교육,인력 > 교육,대구광역시,[대구] 2020년 패션 디자이너 4차 산업(3D CLO) 교육생 모집,한국패션산업연구원,2020-11-01,2020-11-30,2020-08-11
1680,수출,교육,수출 > 교육,제주특별자치도,[제주] 유관기관 합동 온라인 수출마케팅 추가 교육 안내,제주특별자치도 경제통상진흥원,2020-08-20,2020-08-20,2020-08-11
1681,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,"임팩트 유니콘, 세상을 바꿀 미래의 주인공 온라인 Webinar 개최",한국사회적기업진흥원,2020-08-12,2020-08-12,2020-08-11
1682,창업,교육,창업 > 교육,강원도,[강원] 2020년 IP(지식재산) 디딤돌 프로그램 IP(지식재산) 창업존 29기(온라인) 교육 안내,강원도경제진흥원,2020-08-25,2020-09-18,2020-08-11
1683,수출,수출상담회,수출 > 수출상담회,서울특별시,2020년 글로벌 그린허브 코리아(GGHK 2020) 수출상담회 개최 안내,KOTRA,2020-09-09,2020-09-25,2020-08-11
1684,창업,교육,창업 > 교육,경상남도,[경남] 2020년 제10기 IP(지식재산) 창업Zone 교육 안내,창원상공회의소,2020-08-26,2020-09-03,2020-08-11
1685,창업,교육,창업 > 교육,울산광역시,[울산] 2020년 4차ㆍ5차 지식재산창업교육 안내,대한상공회의소,2020-09-07,2020-09-21,2020-08-11
1686,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,유통 4.0시대 대응을 위한 융합기술 플랫폼 데이 세미나 개최 안내,대한상공회의소,2020-09-11,2020-09-11,2020-08-11
1687,경영,교육,경영 > 교육,부산광역시,사회적경제주체 대상 씨앗융자상품 설명회 개최 안내,HUG 주택도시보증공사,2020-08-18,2020-09-02,2020-08-11
1688,경영,교육,경영 > 교육,경기도,[경기] 용인시 2020년 ICT 메이커과정 교육 실시,용인디지털산업진흥원,2020-08-11,2020-11-30,2020-08-11
1689,제도,교육,제도 > 교육,경상남도,[경남] 사회적경제기업 판로개척 역량강화 교육 개최,모두의경제 사회적협동조합,2020-08-27,2020-08-27,2020-08-11
1690,인력,세미나/포럼,인력 > 세미나/포럼,전라북도,2020년 1차 스마트농생명 전문인력 양성사업 세미나 개최,전북테크노파크,2020-08-19,2020-08-19,2020-08-11
1691,경영,교육,경영 > 교육,전라북도,[전북] 2020년 전북VRㆍAR제작거점센터 전문인력양성교육 360VR·AR 콘텐츠 제작 프로젝트 멘토링 과정 실시,전주정보문화산업진흥원,2020-09-07,2020-09-25,2020-08-11
1692,인력,교육,인력 > 교육,인천광역시,2020년 해외전시회 실무교육 교육생 모집,인천테크노파크,2020-09-18,2020-09-25,2020-08-11
1693,인력,교육,인력 > 교육,대구광역시,[대구ㆍ경북] 2020년 통상아카데미 교육 안내,한국무역협회 대구경북지역본부,2020-09-01,2020-10-11,2020-08-11
1694,수출,세미나/포럼,수출 > 세미나/포럼,광주광역시,[호남권] 제9회 KITA 광주전남무역포럼 개최 안내,한국무역협회,2020-09-17,2020-09-17,2020-08-11
1695,인력,교육,인력 > 교육,서울특별시,2020년 하반기 모노즈쿠리 현장개선 실습교육(방문교육) 안내,한일산업기술협력재단,2020-08-10,2020-12-31,2020-08-11
1696,인력,교육,인력 > 교육,경상남도,[경남] 2020년 지역ㆍ산업 맞춤형 인력양성사업 재직근로자 역량강화(엑셀교육) 교육 안내,김해산업진흥의생명융합재단,2020-08-25,2020-08-25,2020-08-11
1697,인력,교육,인력 > 교육,전라북도,[전북] 스마트농생명 기반 기능성 소재 전문기술인력 양성과정 안내,군산대학교,2020-08-28,2020-09-25,2020-08-11
1698,인력,교육,인력 > 교육,전라남도,한국콘텐츠진흥원 게임인재원 1기 편입생 모집 안내,한국콘텐츠진흥원,2020-09-01,2021-08-31,2020-08-11
1699,인력,교육,인력 > 교육,경상북도,[경북] 2020년 4050 행복일자리 취·창업 기본교육 2차 모집 안내,경상북도경제진흥원,2020-08-28,2020-08-28,2020-08-11
